sam,Prod,Fctr,HhldCrt,NfinCrt,Fin_Crt,GvntCrt,ExtlCrt,HhldCpl,NFinCpl,Fin_Cpl,GvntCpl,ExtlCpl,ErrOmm,Total
Prod,1.5696238776e6,0.0,871759.2686,-0.0,-0.0,366012.595420597,459367.7583,128049.234822431,166449.740349487,9251.458257923,61254.066649562,-0.0,0.0,3.631768e6
Fctr,1.758104e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.758104e6
HhldCrt,0.0,1.206371e6,13227.662477097,35728.804012299,183727.20001491,172900.626957587,18069.760762919,-0.0,0.0,0.0,0.0,-0.0,0.0,1.630025054224812e6
NfinCrt,0.0,393449.0,11393.26777544,11055.584777706,12590.472352424,3474.079681599,6391.595412871,0.0,0.0,0.0,0.0,0.0,0.0,438354.00000004
Fin_Crt,0.0,108194.0,113652.427389558,62058.861734542,36354.679122307,5179.924139658,38184.107613985,0.0,0.0,0.0,0.0,0.0,0.0,363624.00000005
GvntCrt,93013.6408,41396.0,320525.81650002,106560.254746365,43184.228570551,15928.256544038,5126.501839025,8461.840641923,11055.605387886,562.480479015,4042.374585741,0.0,0.0,649857.000094565
ExtlCrt,211026.4816,8694.0,134408.611482697,65544.947377915,41853.647804882,15349.517351086,24089.505035171,22062.367013636,28518.654262627,2154.061263062,11658.435772896,-0.0,0.0,565360.228963972
HhldCpl,0.0,0.0,165058.0,0.0,0.0,0.0,0.0,7649.029778132,14222.779078611,23258.270217105,13234.150906853,13126.286415745,0.0,236548.516396446
NFinCpl,0.0,0.0,0.0,157405.547351213,0.0,0.0,0.0,23254.335525282,55631.468767224,34871.961867089,51486.201660264,48798.229403782,0.0,371447.744574854
Fin_Cpl,0.0,0.0,0.0,0.0,45913.772134976,0.0,0.0,73066.423456549,36701.319127079,27706.65524272,0.0,26753.456556754,0.0,210141.626518079
GvntCpl,0.0,0.0,0.0,0.0,0.0,71012.0,0.0,46188.951709023,16642.995647591,36335.104693215,7700.619393078,28487.11662396,0.0,206366.788066867
ExtlCpl,0.0,0.0,0.0,0.0,0.0,0.0,14131.0,32897.604264904,0.0,25444.281352223,39491.586610941,0.0,0.0,111964.472228068
ErrOmm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-105081.270815433,42225.181954349,50557.353145727,17499.352487531,-5200.616772173,0.0,0.0
Total,3.631768e6,1.758104e6,1.630025054224812e6,438354.00000004,363624.00000005,649857.000094565,565360.228963972,236548.516396446,371447.744574854,210141.626518079,206366.788066867,111964.472228068,0.0,1.0173561431067754e7
